tconst,title_type,primary_title,alternate_title,is_adult,start_year,end_year,run_time_minutes,genres
tt0080469,movie,Breaking Glass,Breaking Glass,0,1980,,104,"Drama,Musical"
tt0080519,movie,Cheaper to Keep Her,Cheaper to Keep Her,0,1980,,92,Comedy
tt0080568,tvMovie,The Crucible,The Crucible,0,1981,,,"Drama,History"
tt0080595,tvMovie,The Day Christ Died,The Day Christ Died,0,1980,,142,Drama
tt0080678,movie,The Elephant Man,The Elephant Man,0,1980,,124,"Biography,Drama"
tt0080860,tvEpisode,Henry VIII,The Famous History of the Life of King Henry the Eight,0,1979,,166,
tt0080967,tvEpisode,Journal of Bridget Hitler,Journal of Bridget Hitler,0,1981,,,Drama
tt0081073,movie,Loophole,Loophole,0,1981,,105,"Adventure,Crime,Drama"
tt0081131,tvMovie,The Marquise,The Marquise,0,1980,,50,"Comedy,Romance"
tt0081633,movie,Time Bandits,Time Bandits,0,1981,,110,"Adventure,Comedy,Fantasy"
tt0081934,tvSeries,Solo,Solo,0,1981,1982,30,Comedy
tt0082360,tvMovie,Family Reunion,Family Reunion,0,1981,,200,Drama
tt0082398,movie,For Your Eyes Only,For Your Eyes Only,0,1981,,127,"Action,Adventure,Thriller"
tt0082416,movie,The French Lieutenant's Woman,The French Lieutenant's Woman,0,1981,,124,"Drama,Romance"
tt0082474,movie,The Great Muppet Caper,The Great Muppet Caper,0,1981,,97,"Adventure,Comedy,Crime"
tt0082779,tvMovie,Murder Is Easy,Murder Is Easy,0,1982,,90,"Crime,Mystery"
tt0082940,movie,Priest of Love,Priest of Love,0,1981,,125,"Biography,Drama,Romance"
tt0083207,tvMovie,Timon of Athens,Timon of Athens,0,1981,,128,"Comedy,Drama"
tt0083228,tvMovie,Troilus & Cressida,Troilus & Cressida,0,1981,,190,Drama
tt0083468,tvSeries,Q.E.D.,Q.E.D.,0,1982,1982,60,"Adventure,Comedy,Mystery"
tt0083560,movie,Angel,Angel,0,1982,,92,"Drama,Music,Thriller"
tt0083656,tvMovie,Birth of a Nation,Birth of a Nation,0,1983,,79,Drama
tt0083749,tvMovie,Coming Out of the Ice,Coming Out of the Ice,0,1982,,104,"Biography,Drama"
tt0083862,tvEpisode,Dying Day: Part 1: Mr. Skipling is Sentenced to Death,Dying Day: Part 1: Mr. Skipling is Sentenced to Death,0,1980,,25,"Crime,Drama,Horror"
tt0083908,movie,Evil Under the Sun,Evil Under the Sun,0,1982,,117,"Crime,Drama,Mystery"
tt0084051,movie,Fiona,Hardcore,0,1977,,80,"Adventure,Biography,Comedy"
tt0084058,movie,Heat and Dust,Heat and Dust,0,1983,,130,"Drama,Romance"
tt0084157,tvMovie,Ivanhoe,Ivanhoe,0,1982,,142,"Adventure,Drama,Romance"
tt0084243,tvMovie,The Letter,The Letter,0,1982,,96,Drama
tt0084257,tvEpisode,Little Eyolf,Little Eyolf,0,1982,,,Drama
tt0084531,tvMovie,Praying Mantis,Praying Mantis,0,1982,,113,"Crime,Drama,Romance"
tt0084538,movie,Privates on Parade,Privates on Parade,0,1983,,107,"Comedy,Drama,War"
tt0084911,tvMovie,Witness for the Prosecution,Witness for the Prosecution,0,1982,,97,Drama
tt0084981,tvSeries,Bare Essence,Bare Essence,0,1983,1983,60,"Drama,Romance"
tt0084988,tvSeries,Blackadder,The Black Adder,0,1982,1983,30,Comedy
tt0085023,tvSeries,Goodnight and God Bless,Goodnight and God Bless,0,1983,,30,Comedy
tt0085046,tvSeries,The Late Clive James,The Late Clive James,0,1983,1987,30,"Comedy,Talk-Show"
tt0085513,movie,Exposed,Exposed,0,1983,,100,"Drama,Music"
tt0085616,tvMovie,Grace Kelly,Grace Kelly,0,1983,,100,"Biography,Drama"
tt0086081,movie,Party Party,Party Party,0,1983,,100,Comedy
tt0086122,movie,The Ploughman's Lunch,The Ploughman's Lunch,0,1983,,107,Drama
tt0086177,movie,Real Life,Real Life,0,1984,,92,"Comedy,Crime,Romance"
tt0086682,tvMiniSeries,Charlie,Charlie,0,1984,1984,240,"Crime,Drama,Mystery"
tt0086735,tvSeries,I Thought You'd Gone,I Thought You'd Gone,0,1984,,30,Comedy
tt0086791,tvSeries,Robin Hood,Robin of Sherwood,0,1984,1986,60,"Action,Drama,Fantasy"
tt0086798,tvMiniSeries,Shaka Zulu,Shaka Zulu,0,1986,1986,55,"Action,Biography,Drama"
tt0086879,movie,Amadeus,Amadeus,0,1984,,160,"Biography,Drama,Music"
tt0086966,tvMovie,The Biko Inquest,The Biko Inquest,0,1984,,102,"Drama,History"
tt0087042,movie,Cheech & Chong's: The Corsican Brothers,Cheech & Chong's The Corsican Brothers,0,1984,,82,Comedy
tt0087072,movie,Comfort and Joy,Comfort and Joy,0,1984,,106,Comedy
tt0087106,tvEpisode,Czech Mate,Czech Mate,0,1984,,73,"Drama,Horror,Mystery"
tt0087269,movie,Flashpoint Africa,Flashpoint Africa,0,1980,,99,Adventure
tt0087286,tvMovie,Four Days in July,Four Days in July,0,1984,,96,Drama
tt0087414,movie,The Hit,The Hit,0,1984,,98,"Crime,Drama,Thriller"
tt0087557,tvMovie,Kim,Kim,0,1984,,150,"Adventure,Drama,Family"
tt0087561,tvMovie,King Lear,King Lear,0,1983,,158,Drama
tt0087724,tvMovie,The Mimosa Boys,The Mimosa Boys,0,1985,,,Drama
tt0087803,movie,1984,Nineteen Eighty-Four,0,1984,,113,"Drama,Sci-Fi"
tt0087852,movie,Ordeal by Innocence,Ordeal by Innocence,0,1984,,90,"Mystery,Thriller"
tt0087980,movie,The Razor's Edge,The Razor's Edge,0,1984,,128,"Drama,Romance,War"
tt0088280,tvMovie,To Catch a King,To Catch a King,0,1984,,115,"Drama,Thriller"
tt0088287,movie,Torchlight,Torchlight,0,1984,,90,"Drama,Romance"
tt0088407,movie,Winter Flight,Winter Flight,0,1984,,89,"Drama,Romance"
tt0088444,tvMovie,The Zany Adventures of Robin Hood,The Zany Adventures of Robin Hood,0,1984,,100,Comedy
tt0088471,tvMiniSeries,A.D.,A.D.,0,1985,1985,600,"Drama,History"
tt0088484,tvSeries,Blackadder II,Blackadder II,0,1986,1986,30,Comedy
